semantic_pair,semantic_pair_slug,category,seed,difference_definition,hypervolume_ca,hypervolume_mca,hypervolume_difference,n_non_dominated_ca,n_non_dominated_mca,n_non_dominated_difference,spacing_ca,spacing_mca,spacing_difference,population_average_worst_similarity_ca,population_average_worst_similarity_mca,population_average_worst_similarity_difference,best_max_min_similarity_ca,best_max_min_similarity_mca,best_max_min_similarity_difference,objective_space_extent_ca,objective_space_extent_mca,objective_space_extent_difference,similarity_extent_objective_1_ca,similarity_extent_objective_1_mca,similarity_extent_objective_1_difference,similarity_extent_objective_2_ca,similarity_extent_objective_2_mca,similarity_extent_objective_2_difference
Fish--Starfish,fish_starfish,Body-topology contrasts,11,moead_mca_minus_moead_ca,0.13930052508496704,0.12696975806568922,-0.012330767019277822,21,15,-6,0.0037999610766196834,0.0034729682678377245,-0.00032699280878195885,0.27859434733788174,0.30314900577068327,0.024554658432801524,0.32760435342788696,0.32117465138435364,-0.006429702043533325,0.30737149715423584,0.14378157258033752,-0.16358992457389832,0.11964604258537292,0.0495150089263916,-0.07013103365898132,0.18772545456886292,0.09426656365394592,-0.09345889091491699
Fish--Starfish,fish_starfish,Body-topology contrasts,22,moead_mca_minus_moead_ca,0.13431024142659975,0.13686129039348405,0.002551048966884295,16,18,2,0.001472226565669048,0.0,-0.001472226565669048,0.25938170750935874,0.3278462012608846,0.06846449375152586,0.31280165910720825,0.34104403853416443,0.028242379426956177,0.29956674575805664,0.0929902195930481,-0.20657652616500854,0.12649855017662048,0.03178641200065613,-0.09471213817596436,0.17306819558143616,0.06120380759239197,-0.11186438798904419
Fish--Starfish,fish_starfish,Body-topology contrasts,33,moead_mca_minus_moead_ca,0.1395038166403273,0.12157965036749108,-0.017924166272836217,14,17,3,0.0025419329704910584,0.0041973622957532045,0.0016554293252621461,0.28770990868409474,0.3023874054352442,0.014677496751149488,0.3324663043022156,0.3198222517967224,-0.012644052505493164,0.2542693018913269,0.13092857599258423,-0.12334072589874268,0.1125868558883667,0.057632893323898315,-0.054953962564468384,0.1416824460029602,0.07329568266868591,-0.06838676333427429
Fish--Starfish,fish_starfish,Body-topology contrasts,44,moead_mca_minus_moead_ca,0.14265681948828934,0.11691319408600265,-0.025743625402286696,23,11,-12,0.005289496404439074,0.003285404270329433,-0.0020040921341096408,0.28063307454188663,0.2966897259155909,0.016056651373704267,0.3414194583892822,0.3174747824668884,-0.0239446759223938,0.3045749366283417,0.13725066184997559,-0.1673242747783661,0.11619105935096741,0.0703049898147583,-0.045886069536209106,0.18838387727737427,0.06694567203521729,-0.12143820524215698
Fish--Starfish,fish_starfish,Body-topology contrasts,55,moead_mca_minus_moead_ca,0.1529494410102421,0.12359758430781653,-0.02935185670242557,19,3,-16,0.01264389725654308,0.01577942177638914,0.003135524519846059,0.29821245471636454,0.31000001430511476,0.011787559588750218,0.3307008743286133,0.3408680558204651,0.010167181491851807,0.29616689682006836,0.1313295066356659,-0.16483739018440247,0.13679957389831543,0.041339486837387085,-0.09546008706092834,0.15936732292175293,0.08999001979827881,-0.06937730312347412
Snake--Bird,snake_bird,Body-topology contrasts,11,moead_mca_minus_moead_ca,0.1160530323449418,0.10691909374125341,-0.009133938603688385,20,8,-12,0.005618354055913546,0.002065875284760621,-0.0035524787711529253,0.2614897981286049,0.3000311503807704,0.038541352252165484,0.30708277225494385,0.3153393268585205,0.00825655460357666,0.24379898607730865,0.079252690076828,-0.16454629600048065,0.12780539691448212,0.03587654232978821,-0.09192885458469391,0.11599358916282654,0.043376147747039795,-0.07261744141578674
Snake--Bird,snake_bird,Body-topology contrasts,22,moead_mca_minus_moead_ca,0.11625628499435114,0.09804963647784692,-0.01820664851650422,19,8,-11,0.01681234523253024,0.0019898421682518577,-0.014822503064278384,0.2651238963007927,0.28917204240957894,0.02404814610878625,0.30448535084724426,0.3075356185436249,0.0030502676963806152,0.2575714439153671,0.06445738673210144,-0.19311405718326569,0.11747856438159943,0.024788975715637207,-0.09268958866596222,0.1400928795337677,0.03966841101646423,-0.10042446851730347
Snake--Bird,snake_bird,Body-topology contrasts,33,moead_mca_minus_moead_ca,0.11752828959841022,0.10149245861504141,-0.016035830983368804,17,14,-3,0.006486896823863736,0.0017591237853553337,-0.004727773038508402,0.26124743819236756,0.2818411201238632,0.020593681931495633,0.3062821626663208,0.2983996868133545,-0.007882475852966309,0.2545531839132309,0.09030976891517639,-0.1642434149980545,0.13596943020820618,0.04200071096420288,-0.0939687192440033,0.11858375370502472,0.04830905795097351,-0.07027469575405121
Snake--Bird,snake_bird,Body-topology contrasts,44,moead_mca_minus_moead_ca,0.12344674987370263,0.09832793472481338,-0.02511881514888925,18,9,-9,0.0046518646668279075,0.004468321135722507,-0.00018354353110540053,0.26148823102315266,0.28097460269927976,0.0194863716761271,0.312770277261734,0.2951837182044983,-0.017586559057235718,0.27736885845661163,0.09618431329727173,-0.1811845451593399,0.14165343344211578,0.051745593547821045,-0.08990783989429474,0.13571542501449585,0.044438719749450684,-0.09127670526504517
Snake--Bird,snake_bird,Body-topology contrasts,55,moead_mca_minus_moead_ca,0.11452319414306356,0.10345591296629664,-0.011067281176766919,21,9,-12,0.004775722145291808,0.002870268228109539,-0.0019054539171822686,0.26229566633701323,0.2902202238639196,0.02792455752690637,0.2953639030456543,0.3004072308540344,0.005043327808380127,0.2518380880355835,0.07326817512512207,-0.17856991291046143,0.12294185161590576,0.04407531023025513,-0.07886654138565063,0.12889623641967773,0.029192864894866943,-0.09970337152481079
