strategy,run_count,seeds,hypervolume_mean,hypervolume_std,hypervolume_min,hypervolume_max,n_non_dominated_mean,n_non_dominated_std,spacing_mean,spacing_std
epo,3,,0.10373395425803562,0.0021112623870350932,0.1018050564404458,0.10598950493426873,9.0,2.0,0.010586360453719808,0.0011753852010032493
moead_ca,3,11;22;33,0.13001921481814596,0.010894498703766116,0.12112437690812872,0.14217062597994268,17.666666666666668,1.5275252316519465,0.009244321888825338,0.0043828524256732905
moo_svgd,3,,0.0984402407367145,0.006403020538682419,0.0930121840248983,0.10550177668534388,4.333333333333333,0.5773502691896258,0.010164265878353753,0.00841858464424144
tchebycheff_sum,3,,0.10827781235408047,0.00046779736828853123,0.10775170464748873,0.10864689633788771,7.666666666666667,2.0816659994661326,0.010607476952354403,0.0012278759888993142
weighted_sum,3,,0.10689618842542759,0.0008061853946977128,0.10625086614428314,0.10779988679003782,11.0,1.7320508075688772,0.010048005567660499,0.002471564169278125
