"strategy","run","seed","n_solutions","n_non_dominated","hypervolume","spacing","evaluation_source","evaluation_steps","evaluation_repeats"
"epo","epo","","30","9","0.1018050564404458","0.009236307868677249","checkpoint_reevaluation","96","4"
"epo","epo1","","30","7","0.10598950493426873","0.011382005500804288","checkpoint_reevaluation","96","4"
"epo","epo2","","30","11","0.10340730139939236","0.011140767991677887","checkpoint_reevaluation","96","4"
"moead_ca","moead_ca1","11","30","18","0.12112437690812872","0.004347601433580242","checkpoint_reevaluation","96","4"
"moead_ca","moead_ca2","22","30","16","0.14217062597994268","0.010585436898522585","checkpoint_reevaluation","96","4"
"moead_ca","moead_ca3","33","30","19","0.12676264156636652","0.012799927334373185","checkpoint_reevaluation","96","4"
"moo_svgd","moo_svgd","","30","4","0.0968067614999013","0.015326840716195073","checkpoint_reevaluation","96","4"
"moo_svgd","moo_svgd1","","30","4","0.10550177668534388","0.014716240910445497","checkpoint_reevaluation","96","4"
"moo_svgd","moo_svgd2","","30","5","0.0930121840248983","0.0004497160084206869","checkpoint_reevaluation","96","4"
"tchebycheff_sum","tchebycheff_sum1","","30","6","0.10864689633788771","0.009600702414767386","checkpoint_reevaluation","96","4"
"tchebycheff_sum","tchebycheff_sum2","","30","7","0.10775170464748873","0.010246293103792433","checkpoint_reevaluation","96","4"
"tchebycheff_sum","tchebycheff_sum3","","30","10","0.108434836076865","0.011975435338503393","checkpoint_reevaluation","96","4"
"weighted_sum","weighted_sum1","","30","12","0.10663781234196179","0.010388585438490664","checkpoint_reevaluation","96","4"
"weighted_sum","weighted_sum2","","30","12","0.10625086614428314","0.007423813951951674","checkpoint_reevaluation","96","4"
"weighted_sum","weighted_sum3","","30","9","0.10779988679003782","0.012331617312539157","checkpoint_reevaluation","96","4"
